Head萍	ping
Head聚	ju
Head特	te
别	bie
Head是	shi
Head外	wai
面	mian
Head风	feng
雨	yu
交	jiao
加	jia
Head的	de
Head时	shi
候	hou
c，	，
Head面	mian
对	dui
Head白	bai
Head惨	can
惨	can
Head的	de
Head墙	qiang
壁	bi
c，	，
Head那	na
种	zhong
Head空	kong
虚	xu
c，	，
Head孤	gu
独	du
c，	，
Head恐	kong
惧	ju
Head的	de
Head感	gan
觉	jue
Head便	bian
Head充	chong
溢	yi
Head着	zhao
Head每	mei
个	ge
Head角	jiao
落	luo
c，	，
Head我	wo
Head咬	yao
Head住	zhu
Head嘴	zui
唇	chun
c，	，
Head抱	bao
Head紧	jin
Head双	shuang
肩	jian
c，	，
Head却	que
Head也	ye
Head无	wu
处	chu
Head可	ke
Head躲	duo
c。	。
Head不	bu
Head是	shi
Head坐	zuo
Head在	zai
Head昏	hun
黄	huang
Head的	de
Head灯	deng
Head下	xia
Head流	liu
Head着	zhao
Head眼	yan
泪	lei
Head写	xie
信	xin
Head给	gei
Head国	guo
内	nei
Head的	de
Head朋	peng
友	you
c，	，
Head告	gao
诉	su
Head他	ta
们	men
Head我	wo
c＂	＂
Head好	hao
Head苦	ku
c，	，
Head好	hao
Head苦	ku
c，	，
Head好	hao
Head苦	ku
c...	...
c...	...
c＂	＂
c，	，
Head便	bian
是	shi
Head小	xiao
小	xiao
Head地	di
Head蜷	quan
缩	suo
Head在	zai
Head大	da
大	da
Head的	de
Head床	chuang
Head上	shang
c，	，
Head任	ren
Head思	si
绪	xu
Head无	wu
边	bian
无	wu
际	ji
Head地	di
Head疯	feng
狂	kuang
Head驰	chi
骋	cheng
c。	。
Head风	feng
Head夹	jia
Head着	zhao
Head雨	yu
点	dian
Head打	da
Head在	zai
Head窗	chuang
玻	bo
璃	li
Head上	shang
c，	，
Head是	shi
Head一	yi
Head种	zhong
Head使	shi
Head人	ren
Head心	xin
慌	huang
c，	，
Head心	xin
Head沉	chen
c，	，
Head心	xin
碎	sui
Head的	de
Head节	jie
奏	zou
c。	。
Head或	huo
者	zhe
c，	，
Head夜	ye
静	jing
更	geng
深	shen
c，	，
Head当	dang
Head万	wan
籁	lai
俱	ju
寂	ji
Head得	de
Head令	ling
人	ren
Head怀	huai
疑	yi
Head世	shi
界	jie
Head已	yi
经	jing
Head死	si
亡	wang
Head时	shi
c，	，
Head却	que
Head冷	leng
不	bu
丁	ding
Head传	chuan
来	lai
Head一	yi
Head声	sheng
Head警	jing
车	che
Head的	de
Head怪	guai
Head吼	hou
c...	...
c...	...
Head这	zhe
Head一	yi
切	qie
c，	，
Head我	wo
Head都	dou
Head想	xiang
Head竭	jie
力	li
Head逃	tao
Head开	kai
c。	。
Head但	dan
是	shi
c，	，
Head我	wo
Head知	zhi
道	dao
c，	，
Head我	wo
Head不	bu
能	neng
c，	，
Head因	yin
为	wei
Head我	wo
Head疲	pi
惫	bei
c，	，
Head软	ruan
弱	ruo
c。	。
Head如	ru
果	guo
Head有	you
Head谁	shei
Head向	xiang
Head我	wo
Head伸	shen
出	chu
Head他	ta
Head的	de
Head手	shou
c，	，
Head对	dui
Head我	wo
Head说	shuo
c＂	＂
Head请	qing
Head跟	gen
Head我	wo
Head来	lai
c＂	＂
c，	，
Head我	wo
会	hui
Head毫	hao
不	bu
犹	you
豫	yu
Head地	di
Head跟	gen
Head他	ta
Head走	zou
向	xiang
Head任	ren
何	he
Head一	yi
个	ge
Head角	jiao
落	luo
c。	。
Head我	wo
Head常	chang
Head对	dui
Head自	zi
己	ji
Head这	zhe
样	yang
Head说	shuo
c。	。
Head可	ke
是	shi
c，	，
Head没	mei
有	you
Head这	zhe
样	yang
Head的	de
Head人	ren
c，	，
Head没	mei
有	you
Head人	ren
Head对	dui
Head我	wo
Head这	zhe
样	yang
Head说	shuo
c。	。
Head所	suo
有	you
Head的	de
Head人	ren
Head都	dou
Head在	zai
Head忙	mang
c，	，
Head都	dou
Head在	zai
Head为	wei
Head读	du
书	shu
c，	，
Head为	wei
Head赚	zhuan
钱	qian
c，	，
Head为	wei
Head那	na
些	xie
Head说	shuo
Head不	bu
Head出	chu
来	lai
Head究	jiu
竟	jing
Head是	shi
Head什	shen
么	me
Head的	de
Head东	dong
西	xi
Head而	er
Head奔	ben
波	bo
c，	，
Head又	you
Head有	you
Head什	shen
么	me
Head人	ren
Head顾	gu
Head得	de
Head上	shang
去	qu
Head顾	gu
及	ji
Head别	bie
人	ren
Head是	shi
否	fou
Head孤	gu
单	dan
c，	，
Head软	ruan
弱	ruo
Head呢	ne
c？	？
Head也	ye
Head有	you
些	xie
Head人	ren
c，	，
Head特	te
别	bie
Head是	shi
Head男	nan
人	ren
c，	，
Head对	dui
Head我	wo
Head表	biao
现	xian
Head出	chu
Head热	re
切	qie
Head的	de
Head关	guan
心	xin
c，	，
Head可	ke
Head我	wo
Head明	ming
白	bai
c，	，
Head他	ta
们	men
Head需	xu
要	yao
Head特	te
地	di
Head的	de
Head报	bao
答	da
c。	。
Head他	ta
们	men
Head也	ye
Head是	shi
Head太	tai
Head寂	ji
寞	mo
Head了	le
c，	，
Head特	te
别	bie
Head是	shi
Head在	zai
Head这	zhe
Head所	suo
Head著	zhu
名	ming
Head的	de
c＂	＂
Head常	chang
春	chun
藤	teng
c＂	＂
Head学	xue
校	xiao
Head里	li
c，	，
Head中	zhong
国	guo
Head学	xue
生	sheng
Head中	zhong
Head女	nuu
性	xing
Head单	dan
身	shen
Head者	zhe
Head寥	liao
寥	liao
无	wu
几	ji
c。	。
Head虽	sui
然	ran
Head我	wo
Head已	yi
Head订	ding
Head结	jie
婚	hun
Head约	yue
c，	，
Head但	dan
Head身	shen
边	bian
Head毕	bi
竟	jing
Head没	mei
有	you
Head一	yi
个	ge
Head固	gu
定	ding
Head的	de
Head男	nan
人	ren
c，	，
Head有	you
时	shi
Head也	ye
Head会	hui
Head被	bei
Head错	cuo
Head划	hua
Head入	ru
Head单	dan
身	shen
Head之	zhi
Head列	lie
c。	。
Head然	ran
而	er
c，	，
Head这	zhe
么	me
Head多	duo
