3 形容词 a-adj
3.1 关联值 a-relative
3.2 事性值 a-event
3.3 物性值 a-things
3.3.1 量化属性值 a-numeric
3.3.1.1 浓度 a-concentration
3.3.1.2 温度 a-temperature
3.3.1.3 速度 a-vertical
3.3.1.4 长度 a-length
3.3.1.5 高度 a-height
3.3.1.6 宽度 a-width
3.3.1.7 深度 a-depth
3.3.1.8 厚度 a-thickness
3.3.1.9 硬度 a-hardness
3.3.1.10 湿度 a-humidity
3.3.1.11 数量 a-quantity
3.3.1.12 重量 a-weight
3.3.1.13 粗细 a-thick-thin
3.3.1.14 松紧 a-tightness
3.3.1.15 大小 a-big-small
3.3.1.16 价值 a-value
3.3.2 模糊属性值 a-fuzzy
3.3.2.1 视感 a-vision
3.3.2.2 触感 a-touch
3.3.2.3 音质 a-voice
3.3.2.4 味道 a-taste
3.3.2.5 性质 a-quality
3.3.2.6 内容 a-content
3.3.2.7 外形 a-sharp
3.3.3 颜色 a-color
3.4 人性值 a-humanity
3.4.1 年龄 a-age
3.4.2 品格 a-personality
3.4.3 样貌 a-look-like
3.4.4 关系 a-relationship
3.4.5 境况 a-condition
3.5 空间值 a-space
3.5.1 一维值 a-linear
3.5.2 二维值 a-plane
3.5.3 三维值 a-solid
3.6 时间值 a-time
