1 名词 n-noun
1.1 事物 n-object
1.1.1 具体事物 n-entity
1.1.1.1 生物 n-creature
1.1.1.1.1 人 n-human
1.1.1.1.1.1 个人 n-person
1.1.1.1.1.1.1 人名 n-name
1.1.1.1.1.1.2 职业 n-career
1.1.1.1.1.1.3 身份 n-identity
1.1.1.1.1.1.4 关系 n-relationship
1.1.1.1.1.2 团体 n-group
1.1.1.1.1.2.1 机构 n-orgnization
1.1.1.1.1.2.2 人群 n-crowd
1.1.1.1.2 动物 n-animal
1.1.1.1.2.1 兽 n-beast
1.1.1.1.2.2 鸟 n-bird
1.1.1.1.2.3 昆虫 n-insect
1.1.1.1.2.4 鱼 n-fish
1.1.1.1.2.5 爬行动物 n-reptile
1.1.1.1.3 植物 n-plant
1.1.1.1.3.1 树 n-tree
1.1.1.1.3.2 草 n-grass
1.1.1.1.3.3 花 n-flower
1.1.1.1.3.4 庄稼 n-crops
1.1.1.1.4 微生物 n-microorganism
1.1.1.2 非生物 n-non-living
1.1.1.2.1 人工物 n-man-made
1.1.1.2.1.1 建筑物 n-building
1.1.1.2.1.2 衣物 n-clothes
1.1.1.2.1.3 食物 n-food
1.1.1.2.1.4 药物 n-medicine
1.1.1.2.1.5 化妆品 n-cosmetic
1.1.1.2.1.6 创作物 n-creation
1.1.1.2.1.7 计算机软件 n-software
1.1.1.2.1.8 计算机硬件 n-hardware
1.1.1.2.1.9 钱财 n-money
1.1.1.2.1.10 票据 n-bill
1.1.1.2.1.11 证书 n-certificate
1.1.1.2.1.12 符号 n-symbol
1.1.1.2.1.13 材料 n-material
1.1.1.2.1.14 器具 n-instrument
1.1.1.2.1.14.1 用具 n-tool
1.1.1.2.1.14.2 交通工具 n-vehicle
1.1.1.2.1.14.3 武器 n-weapon
1.1.1.2.1.14.4 家具 n-furniture
1.1.1.2.1.14.5 乐器 n-orchestral-instrument
1.1.1.2.1.14.6 电器 n-electrical-equipment
1.1.1.2.1.14.7 文具 n-stationery
1.1.1.2.1.14.8 运动器械 n-sports-equipment
1.1.1.2.2 自然物 n-natural-object
1.1.1.2.2.1 天体 n-heavenly-body
1.1.1.2.2.2 地理 n-geography
1.1.1.2.2.2.1 地表物 n-surface-content
1.1.1.2.2.2.2 水域物 n-water
1.1.1.2.2.3 气象 n-weather
1.1.1.2.2.4 矿物 n-mineral
1.1.1.2.2.5 元素 n-element
1.1.1.2.2.6 基本物质 n-basic-substance
1.1.1.2.3 排泄物 n-feces
1.1.1.2.4 外形 n-shape
1.1.1.3 构件 n-component
1.1.1.3.1 身体构件 n-body
1.1.1.3.2 非身体构件 n-non-body
1.1.2 抽象事物 n-abstraction
1.1.2.1 属性 n-attribute
1.1.2.1.1 量化属性 n-quantitative-attribute
1.1.2.1.2 模糊属性 n-fuzzy-attribute
1.1.2.1.2.1 人性 n-humanity
1.1.2.1.2.2 物性 n-nature-of-things
1.1.2.1.2.3 事性 n-things-attribute
1.1.2.1.3 颜色 n-color
1.1.2.2 信息 n-infomation
1.1.2.3 领域 n-domain
1.1.2.4 法规 n-law
1.1.2.5 生理 n-physiology
1.1.2.6 心理特征 n-psychological
1.1.2.6.1 情感 n-emotion
1.1.2.6.2 意识 n-conciousness
1.1.2.7 动机 n-motivation
1.2 过程 n-process
1.2.1 事件 n-event
1.2.2 自然现象 n-phenomenon
1.2.2.1 可视现象 n-visible
1.2.2.2 可听现象 n-audible
1.3 空间 n-space
1.3.1 处所 n-location
1.3.2 方位 n-direction
1.4 时间 n-time
1.4.1 绝对时间 n-absolute-time
1.4.2 相对时间 n-relative-time
